"","date","aal","amgn","bhp","bidu","biib","BRK-B","cmcsa","cmg","cop","cost","crm","ebay","gild","gld","gsk","KO","mrk","nke","orcl","pep","qcom","tm","TSM","uso","v","xlf"
"254","2011-03-24",8.85999965667725,8.85999965667725,8.85999965667725,8.85999965667725,8.85999965667725,8.85999965667725,8.85999965667725,8.85999965667725,8.85999965667725,8.85999965667725,8.85999965667725,8.85999965667725,8.85999965667725,8.85999965667725,8.85999965667725,8.85999965667725,8.85999965667725,8.85999965667725,8.85999965667725,8.85999965667725,8.85999965667725,8.85999965667725,8.85999965667725,8.85999965667725,8.85999965667725,8.85999965667725
"255","2011-03-25",9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367
"256","2011-03-28",9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367,9.02000045776367
"257","2011-03-29",8.86999988555908,8.86999988555908,8.86999988555908,8.86999988555908,8.86999988555908,8.86999988555908,8.86999988555908,8.86999988555908,8.86999988555908,8.86999988555908,8.86999988555908,8.86999988555908,8.86999988555908,8.86999988555908,8.86999988555908,8.86999988555908,8.86999988555908,8.86999988555908,8.86999988555908,8.86999988555908,8.86999988555908,8.86999988555908,8.86999988555908,8.86999988555908,8.86999988555908,8.86999988555908
"258","2011-03-30",8.97000026702881,8.97000026702881,8.97000026702881,8.97000026702881,8.97000026702881,8.97000026702881,8.97000026702881,8.97000026702881,8.97000026702881,8.97000026702881,8.97000026702881,8.97000026702881,8.97000026702881,8.97000026702881,8.97000026702881,8.97000026702881,8.97000026702881,8.97000026702881,8.97000026702881,8.97000026702881,8.97000026702881,8.97000026702881,8.97000026702881,8.97000026702881,8.97000026702881,8.97000026702881
"259","2011-03-31",8.71000003814697,8.71000003814697,8.71000003814697,8.71000003814697,8.71000003814697,8.71000003814697,8.71000003814697,8.71000003814697,8.71000003814697,8.71000003814697,8.71000003814697,8.71000003814697,8.71000003814697,8.71000003814697,8.71000003814697,8.71000003814697,8.71000003814697,8.71000003814697,8.71000003814697,8.71000003814697,8.71000003814697,8.71000003814697,8.71000003814697,8.71000003814697,8.71000003814697,8.71000003814697
"260","2011-04-01",8.77999973297119,8.77999973297119,8.77999973297119,8.77999973297119,8.77999973297119,8.77999973297119,8.77999973297119,8.77999973297119,8.77999973297119,8.77999973297119,8.77999973297119,8.77999973297119,8.77999973297119,8.77999973297119,8.77999973297119,8.77999973297119,8.77999973297119,8.77999973297119,8.77999973297119,8.77999973297119,8.77999973297119,8.77999973297119,8.77999973297119,8.77999973297119,8.77999973297119,8.77999973297119
"261","2011-04-04",8.73999977111816,8.73999977111816,8.73999977111816,8.73999977111816,8.73999977111816,8.73999977111816,8.73999977111816,8.73999977111816,8.73999977111816,8.73999977111816,8.73999977111816,8.73999977111816,8.73999977111816,8.73999977111816,8.73999977111816,8.73999977111816,8.73999977111816,8.73999977111816,8.73999977111816,8.73999977111816,8.73999977111816,8.73999977111816,8.73999977111816,8.73999977111816,8.73999977111816,8.73999977111816
"262","2011-04-05",8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514
"263","2011-04-06",8.39999961853027,8.39999961853027,8.39999961853027,8.39999961853027,8.39999961853027,8.39999961853027,8.39999961853027,8.39999961853027,8.39999961853027,8.39999961853027,8.39999961853027,8.39999961853027,8.39999961853027,8.39999961853027,8.39999961853027,8.39999961853027,8.39999961853027,8.39999961853027,8.39999961853027,8.39999961853027,8.39999961853027,8.39999961853027,8.39999961853027,8.39999961853027,8.39999961853027,8.39999961853027
"264","2011-04-07",8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816
"265","2011-04-08",7.94000005722046,7.94000005722046,7.94000005722046,7.94000005722046,7.94000005722046,7.94000005722046,7.94000005722046,7.94000005722046,7.94000005722046,7.94000005722046,7.94000005722046,7.94000005722046,7.94000005722046,7.94000005722046,7.94000005722046,7.94000005722046,7.94000005722046,7.94000005722046,7.94000005722046,7.94000005722046,7.94000005722046,7.94000005722046,7.94000005722046,7.94000005722046,7.94000005722046,7.94000005722046
"266","2011-04-11",8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816,8.23999977111816
"267","2011-04-12",8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514,8.44999980926514
"268","2011-04-13",8.26000022888184,8.26000022888184,8.26000022888184,8.26000022888184,8.26000022888184,8.26000022888184,8.26000022888184,8.26000022888184,8.26000022888184,8.26000022888184,8.26000022888184,8.26000022888184,8.26000022888184,8.26000022888184,8.26000022888184,8.26000022888184,8.26000022888184,8.26000022888184,8.26000022888184,8.26000022888184,8.26000022888184,8.26000022888184,8.26000022888184,8.26000022888184,8.26000022888184,8.26000022888184
"269","2011-04-14",8.0600004196167,8.0600004196167,8.0600004196167,8.0600004196167,8.0600004196167,8.0600004196167,8.0600004196167,8.0600004196167,8.0600004196167,8.0600004196167,8.0600004196167,8.0600004196167,8.0600004196167,8.0600004196167,8.0600004196167,8.0600004196167,8.0600004196167,8.0600004196167,8.0600004196167,8.0600004196167,8.0600004196167,8.0600004196167,8.0600004196167,8.0600004196167,8.0600004196167,8.0600004196167
"270","2011-04-15",8.09000015258789,8.09000015258789,8.09000015258789,8.09000015258789,8.09000015258789,8.09000015258789,8.09000015258789,8.09000015258789,8.09000015258789,8.09000015258789,8.09000015258789,8.09000015258789,8.09000015258789,8.09000015258789,8.09000015258789,8.09000015258789,8.09000015258789,8.09000015258789,8.09000015258789,8.09000015258789,8.09000015258789,8.09000015258789,8.09000015258789,8.09000015258789,8.09000015258789,8.09000015258789
