"","multi_tda_data.date","aal","amgn","bhp","bidu","biib","BRK.B","cmcsa","cmg","cop","cost","crm","ebay","gild","gld","gsk","KO","mrk","nke","orcl","pep","qcom","tm","TSM","uso","v","xlf"
"1",2010-05-13,0.187933054140975,0.227904465678807,0.0266840801019903,0.130766885390458,0.242540054562951,0.0841200510841295,0.0248581327387225,0.00670977513987981,0.0204124406214433,0.165855868043679,0,0.0415927062935971,0.0455892062810024,0.0173452954898068,0.187485631609595,0.133922965534618,0.0378778694865984,0.0740397586115095,0.027326529239377,0.0482600590608536,0.0894799796291308,0.042570135285339,0.20212018914936,0.150782776379865,0.126264839262485,0.000923467645411977
"2",2010-05-14,0.191653842554323,0.128145054356841,0.0342840085505295,0,0.243801750330919,0.0896430256163496,0.0249064184216048,0.0302407845273748,0.109587039765506,0.0676705456998426,0,0.0415927062935971,0.107386459818268,0.132000451324946,0.209615529339089,0.406753289776556,0,0.0740397586115095,0.027326529239377,0.0624004104319796,0.03210615945461,0.0459801306666815,0.209189673189248,0.119000587038978,0.266941944394263,0.00313607686804
"3",2010-05-17,0.191653842554323,0.250874996645784,0.0555114095426948,0.130766885390458,0.258713543764864,0.0238376242079217,0.0251018352935316,0.101394544634438,0.441159463695555,0.0734237965071765,0,0.136999687015797,0.107386459818268,0.133095700175605,0.172556196110146,0.290048877965632,0.0196009620306759,0.0203610799259065,0.0085057816156123,0.0587746843166516,0.0534332389909801,0.0415254573214255,0.209189673189248,0,0.225346937685612,0.00228491304810239
"4",2010-05-18,0.16491287218565,0.317779979529509,0.0770714516491601,0.130766885390458,0.258713543764864,0.0227416404870237,0.0740311752759623,0.101394544634438,0.407180840384994,0.0734237965071765,0.000922936915249675,0.157095973020063,0.185410144844958,0.133660281301636,0.173933298422614,0.266419150295728,0.0455832066474548,0.022896714663364,0.00420325074815404,0.0304327786767806,0.0855552401762304,0.0412522336358834,0.191544575637794,0,0.221297566646852,0.00228491304810239
"5",2010-05-19,0.159553148595533,0.237504223348485,0.126408493984165,0.0175740967666409,0.250975098072902,0.0227416404870237,0.0740311752759623,0.0206238118899142,0.334625333727627,0.0717535952366187,0,0.191377594139426,0.0761474229792217,0.139047129065,0.174561111452958,0.234756761536588,0.0455832066474548,0.0195489549121244,0.0115232964161671,0.0420103762166385,0.0759227995404975,0.0574268425293592,0.0828550258548962,0.0273820785812928,0.221297566646852,0.0205333621030806
"6",2010-05-20,0.161860800804101,0.109708553505075,0.164446781864018,0.0375541784549786,0.189573784071151,0.0227416404870237,0.0716214496884242,0.0813355643315426,0.101885438356513,0.0717535939838461,0.027383691255102,0.18384528098677,0.0761474229792217,0.13921728836734,0.174561111452958,0.153095760918148,0.0453461911238432,0.0127266405900435,0.00590844319737652,0.0323086957391405,0.0553978315433819,0.0552337409964052,0.098719287610377,0.118010590538593,0.225346937685612,0.0205333621030806
"7",2010-05-21,0.156177408977034,0.00827360650082891,0.182509190095955,0.149116397708833,0.0796209056310812,0.0227416404870237,0.0716214496884242,0.0815884097431586,0.123597579160592,0.0717535939838461,0.0387043268103374,0.308819088352051,0.0362630765438739,0.139199013561182,0.152401209064428,0.14108033789973,0.0453461911238432,0.0127266405900435,0.00590844319737652,0.00686818897579774,0.0553978315433819,0.0412108031419302,0.0475500926167282,0.0963969922914403,0.178545605064865,0.0245161460878722
"8",2010-05-24,0.156177408977034,0.00827360650082891,0.182509190095955,0.170179806856688,0.0796209056310812,0.0457168404155646,0.0697359106218515,0.058889058076938,0.123597579160592,0.0273070945243656,0,0.158813733047055,0.0362630765438739,0.101643435465143,0.176951089571149,0.117158351993512,0.0567554810805815,0.0127266405900435,0.0153675461205718,0.00686818897579774,0.0403938170955822,0.039079775083059,0,0.0422971656367308,0.178545605064865,0.0244214951336426
"9",2010-05-25,0.279464683299452,0.289099382542924,0.165955276424464,0.0496365936980966,0.0768617075853909,0.045663458891119,0.0680997297747333,0.0585382488797022,0.118709586072472,0.127323363007446,0.00194179209591327,0.0538539045958073,0.0362630765438739,0.0994713242763826,0.139683774531665,0.0556309084902122,0.0453461911238432,0.021440345085378,0.0759313762078074,0.00686818897579774,0.0403938170955822,0.0628630695993492,0,0.0411235426838585,0.0942413525547657,0.0359448059294192
"10",2010-05-26,0.35688246796002,0.28142066725272,0.165955276424464,0.0285447711114654,0.054341982504087,0.0330489656882283,0.0448771884447739,0.0223121302674762,0.0879548365883973,0.124857303823337,0.0129156338909898,0.0568413362729401,0.0362630765438739,0.0994713242763826,0.137732033419038,0.0686861144151691,0.0453461911238432,0.021440345085378,0.0810939786186684,0.00686818897579774,0.0403938170955822,0.0692128472426048,0,0.017084312532018,0.0942413525547657,0.0535193944583747
"11",2010-05-27,0.35688246796002,0.276224377842966,0.165955276424464,0.0285447711114654,0.054341982504087,0.0330489656882283,0.0448771884447739,0.0267036824912238,0.0849040075638564,0.124857303823337,0.0129156338909898,0.0568413362729401,0,0.231136370874708,0.137732033419038,0.0686861144151691,0.0475791596271161,0.0339095557502308,0.0916093177175851,0.0948674937297192,0.000682898581021623,0.0694774560494543,0,0.0359935223987631,0.282996833817378,0.0536579422567336
"12",2010-05-28,0.35688246796002,0.304308553614305,0.165955276424464,0.0611047518043514,0.054341982504087,0.0831945712436646,0,0.022509324622073,0.0843190670566484,0,0.0129156338909898,0.0566044866075683,0,0.269162456953083,0.13062958613797,0.0737873926199443,0.0475791596271161,0.0125044799603522,0.0915272044069649,0.0948674937297192,0.000682898581021623,0.0415970910806106,0,0.115888832201444,0.282996833817378,0.0893564595168769
"13",2010-06-01,0.364837058849604,0.259348632897343,0.165955276424464,0.0611047518043514,0.0553152135972808,0.0831945712436646,0,0.0029729678553658,0.105530980742075,0.0127306099170224,0.0458454966263638,0.0564742659196529,0,0.269162456953083,0.0918398712290112,0.0737873926199443,0.0756422587286853,0,0.091643149525542,0.232160528426999,0.000682898581021623,0.041499580806179,0.0269885654349205,0.115792759337726,0.039630864971497,0.0984668016100141
