"","date","aal","amgn","bhp","bidu","biib","BRK-B","cmcsa","cmg","cop","cost","crm","ebay","gild","gld","gsk","KO","mrk","nke","orcl","pep","qcom","tm","TSM","uso","v","xlf"
"254","2010-05-13",1.39060811278711e-05,2.15454305263732e-05,4.32316117082509e-06,1.94900359098806e-05,2.17661141159084e-05,1.31270875144085e-05,1.12809443712752e-06,1.83774404534713e-07,9.51104914350939e-07,1.80174317809935e-05,0,1.06254479356464e-06,9.5985341526829e-07,1.07502876214261e-06,2.2125731564268e-05,2.05847343025222e-05,9.29592047218259e-07,1.08497443694437e-05,2.40950414331649e-06,4.45570666800924e-06,5.66640011068337e-06,7.71519942729528e-06,3.34712642743541e-05,1.29008509887236e-05,8.59615149752689e-06,1.12450894095366e-07
"255","2010-05-14",1.51234134103647e-05,9.92508002949253e-06,6.08221147634128e-06,0,2.20341486972657e-05,1.615286977874e-05,1.19624600100308e-06,1.6242904138172e-06,1.05122310302784e-05,5.32307906250944e-06,0,1.06254479356464e-06,2.87245684878773e-06,1.55410352958542e-05,2.65976028053403e-05,7.23508548543367e-05,0,1.08497443694437e-05,2.40950414331649e-06,7.32526758225847e-06,1.28131666375148e-06,8.54747850332222e-06,3.73123310774605e-05,9.40201761807897e-06,2.06498034634327e-05,5.80527534338928e-07
"256","2010-05-17",1.51234134103647e-05,2.5070036516582e-05,1.25922550810713e-05,1.94900359098806e-05,2.36273022398154e-05,2.48112982777682e-06,1.07245770675072e-06,8.11296260888478e-06,6.00277440543956e-05,7.01383947294407e-06,0,5.87928556522005e-06,2.87245684878773e-06,1.65929631557341e-05,1.82163152211589e-05,5.43825704815472e-05,3.75693143542578e-07,2.14477877808073e-06,5.22254921919806e-07,6.63914443595437e-06,2.45497145689613e-06,7.19689556200124e-06,3.73123310774605e-05,0,1.70755841415247e-05,3.69848943759719e-07
"257","2010-05-18",1.25837913365393e-05,3.1682060883084e-05,1.74756523685153e-05,1.94900359098806e-05,2.36273022398154e-05,2.27962522545952e-06,4.6840124531604e-06,8.11296260888478e-06,5.2105950469186e-05,7.01383947294407e-06,2.74974912813095e-08,8.0014887048806e-06,5.99074851015154e-06,1.70270001743262e-05,1.8010988514645e-05,4.16640412487863e-05,1.18605430270228e-06,2.67172533437909e-06,2.61028002844629e-07,2.97748297929876e-06,6.37162469542934e-06,6.95319377520337e-06,3.3614580862471e-05,0,1.6642807579956e-05,3.69848943759719e-07
"258","2010-05-19",1.07664225360466e-05,2.52352597387701e-05,2.73135560485072e-05,1.3426878216897e-06,2.17304392275744e-05,2.27962522545952e-06,4.6840124531604e-06,9.3483249565906e-07,3.9184177881401e-05,6.65661160114645e-06,0,1.00971366938326e-05,1.81652355894333e-06,1.93277617321642e-05,2.16437879779344e-05,3.29648771890888e-05,1.18605430270228e-06,1.92793436472113e-06,8.66604128371892e-07,4.63902919431702e-06,4.91571260231775e-06,1.01038248492522e-05,1.01853729649511e-05,1.52410123579269e-06,1.6642807579956e-05,7.45879381265959e-06
"259","2010-05-20",1.17702541817024e-05,9.63871075115452e-06,3.88648310985973e-05,3.67142291428917e-06,1.54982810363551e-05,2.27962522545952e-06,4.19303887401552e-06,6.73010588115661e-06,8.24127129649005e-06,6.65620927962285e-06,1.59480159704994e-06,8.1483693000117e-06,1.81652355894333e-06,1.9482649695646e-05,2.16437879779344e-05,1.90638549283862e-05,1.12097032153479e-06,1.17440442934541e-06,3.01541764755954e-07,2.56950531228771e-06,3.29864060384273e-06,1.0283152179967e-05,1.48315273979221e-05,1.15864491791189e-05,1.70755841415247e-05,7.45879381265959e-06
"260","2010-05-21",1.1352086130673e-05,1.99358428282409e-07,5.39734957431828e-05,2.3214454552662e-05,5.38144514197763e-06,2.27962522545952e-06,4.19303887401552e-06,6.93439055659645e-06,1.24889604167642e-05,6.65620927962285e-06,2.48541476777657e-06,1.76388016846816e-05,6.70995462788027e-07,1.94753574513221e-05,1.50667969197223e-05,1.67459484632492e-05,1.12097032153479e-06,1.17440442934541e-06,3.01541764755954e-07,2.57465337673195e-07,3.29864060384273e-06,7.00812274798525e-06,4.56153553376785e-06,7.34734382571816e-06,1.20870603591664e-05,1.12903129291492e-05
"261","2010-05-24",1.1352086130673e-05,1.99358428282409e-07,5.39734957431828e-05,2.77093708820538e-05,5.38144514197763e-06,5.84153289836018e-06,3.69977004367131e-06,4.80339739244588e-06,1.24889604167642e-05,1.85750884858366e-06,0,7.73621674488408e-06,6.70995462788027e-07,1.32126439786362e-05,1.93896542796847e-05,1.30755211004509e-05,1.90397912937979e-06,1.17440442934541e-06,1.2704237822256e-06,2.57465337673195e-07,1.73510829208489e-06,6.73944909970856e-06,0,2.63517479525247e-06,1.20870603591664e-05,1.10523444384742e-05
"262","2010-05-25",2.8129770583905e-05,3.37925464191321e-05,4.06334167153282e-05,5.45558935559935e-06,5.31439874460626e-06,5.74140508212961e-06,3.27263228351586e-06,4.59911271700605e-06,1.1181702353861e-05,1.34904916428085e-05,5.78527203162592e-08,1.98261268473839e-06,6.70995462788027e-07,1.19024776735932e-05,1.37519731080441e-05,6.07520245995009e-06,1.12097032153479e-06,2.56160069242722e-06,8.74320632343905e-06,2.57465337673195e-07,1.73510829208489e-06,9.81064152221436e-06,0,2.33493157056333e-06,5.13203478685951e-06,1.48851367809593e-05
"263","2010-05-26",3.15002861341442e-05,3.22052809852456e-05,4.06334167153282e-05,2.69266080758792e-06,2.86011705814209e-06,3.8177542927172e-06,1.87521533788273e-06,1.11467891915599e-06,7.17763271568888e-06,1.20827318633958e-05,5.91643916031433e-07,2.22256773872574e-06,6.70995462788027e-07,1.19024776735932e-05,1.35850867914656e-05,7.8890583763994e-06,1.12097032153479e-06,2.56160069242722e-06,9.70270615871842e-06,2.57465337673195e-07,1.73510829208489e-06,1.05093491473754e-05,0,8.89399184448708e-07,5.13203478685951e-06,3.18683590298126e-05
